pokemon_id,species_id,pokedex_number,identifier,name_zh,name_en,name_ja,species_name_zh,species_name_en,species_name_ja,genus_zh,height_m,weight_kg,base_experience,generation_id,capture_rate,gender_rate,is_baby,is_legendary,is_mythical,is_default,is_mega,form_identifier,form_name_zh,type1_zh,type2_zh,hp,attack,defense,special_attack,special_defense,speed,total,mega_form_count,ability1_zh,ability1_en,ability1_hidden,ability2_zh,ability2_en,ability2_hidden,hidden_ability_zh,hidden_ability_en
13,13,13,weedle,獨角蟲,Weedle,ビードル,獨角蟲,Weedle,ビードル,毛毛蟲寶可夢,0.3,3.2,39,1,255,4,False,False,False,True,False,,,蟲,毒,40,35,30,20,20,50,195,0,鱗粉,Shield Dust,False,,,,逃跑,Run Away
14,14,14,kakuna,鐵殼蛹,Kakuna,コクーン,鐵殼蛹,Kakuna,コクーン,蛹寶可夢,0.6,10.0,72,1,120,4,False,False,False,True,False,,,蟲,毒,45,25,50,25,25,35,205,0,蛻皮,Shed Skin,False,,,,,
15,15,15,beedrill,大針蜂,Beedrill,スピアー,大針蜂,Beedrill,スピアー,毒蜂寶可夢,1.0,29.5,178,1,45,4,False,False,False,True,False,,,蟲,毒,65,90,40,45,80,75,395,1,蟲之預感,Swarm,False,,,,狙擊手,Sniper
16,16,16,pidgey,波波,Pidgey,ポッポ,波波,Pidgey,ポッポ,小鳥寶可夢,0.3,1.8,50,1,255,4,False,False,False,True,False,,,一般,飛行,40,45,40,35,35,56,251,0,銳利目光,Keen Eye,False,蹣跚,Tangled Feet,False,健壯胸肌,Big Pecks
17,17,17,pidgeotto,比比鳥,Pidgeotto,ピジョン,比比鳥,Pidgeotto,ピジョン,鳥寶可夢,1.1,30.0,122,1,120,4,False,False,False,True,False,,,一般,飛行,63,60,55,50,50,71,349,0,銳利目光,Keen Eye,False,蹣跚,Tangled Feet,False,健壯胸肌,Big Pecks
18,18,18,pidgeot,大比鳥,Pidgeot,ピジョット,大比鳥,Pidgeot,ピジョット,鳥寶可夢,1.5,39.5,216,1,45,4,False,False,False,True,False,,,一般,飛行,83,80,75,70,70,101,479,1,銳利目光,Keen Eye,False,蹣跚,Tangled Feet,False,健壯胸肌,Big Pecks
19,19,19,rattata,小拉達,Rattata,コラッタ,小拉達,Rattata,コラッタ,鼠寶可夢,0.3,3.5,51,1,255,4,False,False,False,True,False,,,一般,,30,56,35,25,35,72,253,0,逃跑,Run Away,False,毅力,Guts,False,活力,Hustle
20,20,20,raticate,拉達,Raticate,ラッタ,拉達,Raticate,ラッタ,鼠寶可夢,0.7,18.5,145,1,127,4,False,False,False,True,False,,,一般,,55,81,60,50,70,97,413,0,逃跑,Run Away,False,毅力,Guts,False,活力,Hustle
21,21,21,spearow,烈雀,Spearow,オニスズメ,烈雀,Spearow,オニスズメ,小鳥寶可夢,0.3,2.0,52,1,255,4,False,False,False,True,False,,,一般,飛行,40,60,30,31,31,70,262,0,銳利目光,Keen Eye,False,,,,狙擊手,Sniper
22,22,22,fearow,大嘴雀,Fearow,オニドリル,大嘴雀,Fearow,オニドリル,鳥嘴寶可夢,1.2,38.0,155,1,90,4,False,False,False,True,False,,,一般,飛行,65,90,65,61,61,100,442,0,銳利目光,Keen Eye,False,,,,狙擊手,Sniper
23,23,23,ekans,阿柏蛇,Ekans,アーボ,阿柏蛇,Ekans,アーボ,蛇寶可夢,2.0,6.9,58,1,255,4,False,False,False,True,False,,,毒,,35,60,44,40,54,55,288,0,威嚇,Intimidate,False,蛻皮,Shed Skin,False,緊張感,Unnerve
24,24,24,arbok,阿柏怪,Arbok,アーボック,阿柏怪,Arbok,アーボック,眼鏡蛇寶可夢,3.5,65.0,157,1,90,4,False,False,False,True,False,,,毒,,60,95,69,65,79,80,448,0,威嚇,Intimidate,False,蛻皮,Shed Skin,False,緊張感,Unnerve
25,25,25,pikachu,皮卡丘,Pikachu,ピカチュウ,皮卡丘,Pikachu,ピカチュウ,鼠寶可夢,0.4,6.0,112,1,190,4,False,False,False,True,False,,,電,,35,55,40,50,50,90,320,0,靜電,Static,False,,,,避雷針,Lightning Rod
26,26,26,raichu,雷丘,Raichu,ライチュウ,雷丘,Raichu,ライチュウ,鼠寶可夢,0.8,30.0,218,1,75,4,False,False,False,True,False,,,電,,60,90,55,90,80,110,485,2,靜電,Static,False,,,,避雷針,Lightning Rod
27,27,27,sandshrew,穿山鼠,Sandshrew,サンド,穿山鼠,Sandshrew,サンド,鼠寶可夢,0.6,12.0,60,1,255,4,False,False,False,True,False,,,地面,,50,75,85,20,30,40,300,0,沙隱,Sand Veil,False,,,,撥沙,Sand Rush
28,28,28,sandslash,穿山王,Sandslash,サンドパン,穿山王,Sandslash,サンドパン,鼠寶可夢,1.0,29.5,158,1,90,4,False,False,False,True,False,,,地面,,75,100,110,45,55,65,450,0,沙隱,Sand Veil,False,,,,撥沙,Sand Rush
29,29,29,nidoran-f,尼多蘭,Nidoran♀,ニドラン♀,尼多蘭,Nidoran♀,ニドラン♀,毒針寶可夢,0.4,7.0,55,1,235,8,False,False,False,True,False,,,毒,,55,47,52,40,40,41,275,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,活力,Hustle
30,30,30,nidorina,尼多娜,Nidorina,ニドリーナ,尼多娜,Nidorina,ニドリーナ,毒針寶可夢,0.8,20.0,128,1,120,8,False,False,False,True,False,,,毒,,70,62,67,55,55,56,365,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,活力,Hustle
31,31,31,nidoqueen,尼多后,Nidoqueen,ニドクイン,尼多后,Nidoqueen,ニドクイン,鑽錐寶可夢,1.3,60.0,227,1,45,8,False,False,False,True,False,,,毒,地面,90,92,87,75,85,76,505,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,強行,Sheer Force
32,32,32,nidoran-m,尼多朗,Nidoran♂,ニドラン♂,尼多朗,Nidoran♂,ニドラン♂,毒針寶可夢,0.5,9.0,55,1,235,0,False,False,False,True,False,,,毒,,46,57,40,40,40,50,273,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,活力,Hustle
33,33,33,nidorino,尼多力諾,Nidorino,ニドリーノ,尼多力諾,Nidorino,ニドリーノ,毒針寶可夢,0.9,19.5,128,1,120,0,False,False,False,True,False,,,毒,,61,72,57,55,55,65,365,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,活力,Hustle
34,34,34,nidoking,尼多王,Nidoking,ニドキング,尼多王,Nidoking,ニドキング,鑽錐寶可夢,1.4,62.0,227,1,45,0,False,False,False,True,False,,,毒,地面,81,102,77,85,75,85,505,0,毒刺,Poison Point,False,鬥爭心,Rivalry,False,強行,Sheer Force
35,35,35,clefairy,皮皮,Clefairy,ピッピ,皮皮,Clefairy,ピッピ,妖精寶可夢,0.6,7.5,113,1,150,6,False,False,False,True,False,,,妖精,,70,45,48,60,65,35,323,0,迷人之軀,Cute Charm,False,魔法防守,Magic Guard,False,友情防守,Friend Guard
36,36,36,clefable,皮可西,Clefable,ピクシー,皮可西,Clefable,ピクシー,妖精寶可夢,1.3,40.0,217,1,25,6,False,False,False,True,False,,,妖精,,95,70,73,95,90,60,483,1,迷人之軀,Cute Charm,False,魔法防守,Magic Guard,False,純樸,Unaware
37,37,37,vulpix,六尾,Vulpix,ロコン,六尾,Vulpix,ロコン,狐狸寶可夢,0.6,9.9,60,1,190,6,False,False,False,True,False,,,火,,38,41,40,50,65,65,299,0,引火,Flash Fire,False,,,,日照,Drought
38,38,38,ninetales,九尾,Ninetales,キュウコン,九尾,Ninetales,キュウコン,狐狸寶可夢,1.1,19.9,177,1,75,6,False,False,False,True,False,,,火,,73,76,75,81,100,100,505,0,引火,Flash Fire,False,,,,日照,Drought
39,39,39,jigglypuff,胖丁,Jigglypuff,プリン,胖丁,Jigglypuff,プリン,氣球寶可夢,0.5,5.5,95,1,170,6,False,False,False,True,False,,,一般,妖精,115,45,20,45,25,20,270,0,迷人之軀,Cute Charm,False,好勝,Competitive,False,友情防守,Friend Guard
40,40,40,wigglytuff,胖可丁,Wigglytuff,プクリン,胖可丁,Wigglytuff,プクリン,氣球寶可夢,1.0,12.0,196,1,50,6,False,False,False,True,False,,,一般,妖精,140,70,45,85,50,45,435,0,迷人之軀,Cute Charm,False,好勝,Competitive,False,察覺,Frisk
41,41,41,zubat,超音蝠,Zubat,ズバット,超音蝠,Zubat,ズバット,蝙蝠寶可夢,0.8,7.5,49,1,255,4,False,False,False,True,False,,,毒,飛行,40,45,35,30,40,55,245,0,精神力,Inner Focus,False,,,,穿透,Infiltrator
42,42,42,golbat,大嘴蝠,Golbat,ゴルバット,大嘴蝠,Golbat,ゴルバット,蝙蝠寶可夢,1.6,55.0,159,1,90,4,False,False,False,True,False,,,毒,飛行,75,80,70,65,75,90,455,0,精神力,Inner Focus,False,,,,穿透,Infiltrator
43,43,43,oddish,走路草,Oddish,ナゾノクサ,走路草,Oddish,ナゾノクサ,雜草寶可夢,0.5,5.4,64,1,255,4,False,False,False,True,False,,,草,毒,45,50,55,75,65,30,320,0,葉綠素,Chlorophyll,False,,,,逃跑,Run Away
44,44,44,gloom,臭臭花,Gloom,クサイハナ,臭臭花,Gloom,クサイハナ,雜草寶可夢,0.8,8.6,138,1,120,4,False,False,False,True,False,,,草,毒,60,65,70,85,75,40,395,0,葉綠素,Chlorophyll,False,,,,惡臭,Stench
45,45,45,vileplume,霸王花,Vileplume,ラフレシア,霸王花,Vileplume,ラフレシア,花寶可夢,1.2,18.6,221,1,45,4,False,False,False,True,False,,,草,毒,75,80,85,110,90,50,490,0,葉綠素,Chlorophyll,False,,,,孢子,Effect Spore
46,46,46,paras,派拉斯,Paras,パラス,派拉斯,Paras,パラス,蘑菇寶可夢,0.3,5.4,57,1,190,4,False,False,False,True,False,,,蟲,草,35,70,55,45,55,25,285,0,孢子,Effect Spore,False,乾燥皮膚,Dry Skin,False,濕氣,Damp
47,47,47,parasect,派拉斯特,Parasect,パラセクト,派拉斯特,Parasect,パラセクト,蘑菇寶可夢,1.0,29.5,142,1,75,4,False,False,False,True,False,,,蟲,草,60,95,80,60,80,30,405,0,孢子,Effect Spore,False,乾燥皮膚,Dry Skin,False,濕氣,Damp
48,48,48,venonat,毛球,Venonat,コンパン,毛球,Venonat,コンパン,昆蟲寶可夢,1.0,30.0,61,1,190,4,False,False,False,True,False,,,蟲,毒,60,55,50,40,55,45,305,0,複眼,Compound Eyes,False,有色眼鏡,Tinted Lens,False,逃跑,Run Away
49,49,49,venomoth,摩魯蛾,Venomoth,モルフォン,摩魯蛾,Venomoth,モルフォン,毒蛾寶可夢,1.5,12.5,158,1,75,4,False,False,False,True,False,,,蟲,毒,70,65,60,90,75,90,450,0,鱗粉,Shield Dust,False,有色眼鏡,Tinted Lens,False,奇跡皮膚,Wonder Skin
50,50,50,diglett,地鼠,Diglett,ディグダ,地鼠,Diglett,ディグダ,鼴鼠寶可夢,0.2,0.8,53,1,255,4,False,False,False,True,False,,,地面,,10,55,25,35,45,95,265,0,沙隱,Sand Veil,False,沙穴,Arena Trap,False,沙之力,Sand Force
51,51,51,dugtrio,三地鼠,Dugtrio,ダグトリオ,三地鼠,Dugtrio,ダグトリオ,鼴鼠寶可夢,0.7,33.3,149,1,50,4,False,False,False,True,False,,,地面,,35,100,50,50,70,120,425,0,沙隱,Sand Veil,False,沙穴,Arena Trap,False,沙之力,Sand Force
52,52,52,meowth,喵喵,Meowth,ニャース,喵喵,Meowth,ニャース,妖怪貓寶可夢,0.4,4.2,58,1,255,4,False,False,False,True,False,,,一般,,40,45,35,40,40,90,290,0,撿拾,Pickup,False,技術高手,Technician,False,緊張感,Unnerve
53,53,53,persian,貓老大,Persian,ペルシアン,貓老大,Persian,ペルシアン,暹羅貓寶可夢,1.0,32.0,154,1,90,4,False,False,False,True,False,,,一般,,65,70,60,65,65,115,440,0,柔軟,Limber,False,技術高手,Technician,False,緊張感,Unnerve
54,54,54,psyduck,可達鴨,Psyduck,コダック,可達鴨,Psyduck,コダック,鴨寶可夢,0.8,19.6,64,1,190,4,False,False,False,True,False,,,水,,50,52,48,65,50,55,320,0,濕氣,Damp,False,無關天氣,Cloud Nine,False,悠游自如,Swift Swim
55,55,55,golduck,哥達鴨,Golduck,ゴルダック,哥達鴨,Golduck,ゴルダック,鴨寶可夢,1.7,76.6,175,1,75,4,False,False,False,True,False,,,水,,80,82,78,95,80,85,500,0,濕氣,Damp,False,無關天氣,Cloud Nine,False,悠游自如,Swift Swim
56,56,56,mankey,猴怪,Mankey,マンキー,猴怪,Mankey,マンキー,豬猴寶可夢,0.5,28.0,61,1,190,4,False,False,False,True,False,,,格鬥,,40,80,35,35,45,70,305,0,幹勁,Vital Spirit,False,憤怒穴位,Anger Point,False,不服輸,Defiant
57,57,57,primeape,火爆猴,Primeape,オコリザル,火爆猴,Primeape,オコリザル,豬猴寶可夢,1.0,32.0,159,1,75,4,False,False,False,True,False,,,格鬥,,65,105,60,60,70,95,455,0,幹勁,Vital Spirit,False,憤怒穴位,Anger Point,False,不服輸,Defiant
58,58,58,growlithe,卡蒂狗,Growlithe,ガーディ,卡蒂狗,Growlithe,ガーディ,小狗寶可夢,0.7,19.0,70,1,190,2,False,False,False,True,False,,,火,,55,70,45,70,50,60,350,0,威嚇,Intimidate,False,引火,Flash Fire,False,正義之心,Justified
59,59,59,arcanine,風速狗,Arcanine,ウインディ,風速狗,Arcanine,ウインディ,傳說寶可夢,1.9,155.0,194,1,75,2,False,False,False,True,False,,,火,,90,110,80,100,80,95,555,0,威嚇,Intimidate,False,引火,Flash Fire,False,正義之心,Justified
60,60,60,poliwag,蚊香蝌蚪,Poliwag,ニョロモ,蚊香蝌蚪,Poliwag,ニョロモ,蝌蚪寶可夢,0.6,12.4,60,1,255,4,False,False,False,True,False,,,水,,40,50,40,40,40,90,300,0,儲水,Water Absorb,False,濕氣,Damp,False,悠游自如,Swift Swim
61,61,61,poliwhirl,蚊香君,Poliwhirl,ニョロゾ,蚊香君,Poliwhirl,ニョロゾ,蝌蚪寶可夢,1.0,20.0,135,1,120,4,False,False,False,True,False,,,水,,65,65,65,50,50,90,385,0,儲水,Water Absorb,False,濕氣,Damp,False,悠游自如,Swift Swim
62,62,62,poliwrath,蚊香泳士,Poliwrath,ニョロボン,蚊香泳士,Poliwrath,ニョロボン,蝌蚪寶可夢,1.3,54.0,230,1,45,4,False,False,False,True,False,,,水,格鬥,90,95,95,70,90,70,510,0,儲水,Water Absorb,False,濕氣,Damp,False,悠游自如,Swift Swim
63,63,63,abra,凱西,Abra,ケーシィ,凱西,Abra,ケーシィ,念力寶可夢,0.9,19.5,62,1,200,2,False,False,False,True,False,,,超能力,,25,20,15,105,55,90,310,0,同步,Synchronize,False,精神力,Inner Focus,False,魔法防守,Magic Guard
64,64,64,kadabra,勇基拉,Kadabra,ユンゲラー,勇基拉,Kadabra,ユンゲラー,念力寶可夢,1.3,56.5,140,1,100,2,False,False,False,True,False,,,超能力,,40,35,30,120,70,105,400,0,同步,Synchronize,False,精神力,Inner Focus,False,魔法防守,Magic Guard
65,65,65,alakazam,胡地,Alakazam,フーディン,胡地,Alakazam,フーディン,念力寶可夢,1.5,48.0,225,1,50,2,False,False,False,True,False,,,超能力,,55,50,45,135,95,120,500,1,同步,Synchronize,False,精神力,Inner Focus,False,魔法防守,Magic Guard
66,66,66,machop,腕力,Machop,ワンリキー,腕力,Machop,ワンリキー,怪力寶可夢,0.8,19.5,61,1,180,2,False,False,False,True,False,,,格鬥,,70,80,50,35,35,35,305,0,毅力,Guts,False,無防守,No Guard,False,不屈之心,Steadfast
67,67,67,machoke,豪力,Machoke,ゴーリキー,豪力,Machoke,ゴーリキー,怪力寶可夢,1.5,70.5,142,1,90,2,False,False,False,True,False,,,格鬥,,80,100,70,50,60,45,405,0,毅力,Guts,False,無防守,No Guard,False,不屈之心,Steadfast
68,68,68,machamp,怪力,Machamp,カイリキー,怪力,Machamp,カイリキー,怪力寶可夢,1.6,130.0,227,1,45,2,False,False,False,True,False,,,格鬥,,90,130,80,65,85,55,505,0,毅力,Guts,False,無防守,No Guard,False,不屈之心,Steadfast
69,69,69,bellsprout,喇叭芽,Bellsprout,マダツボミ,喇叭芽,Bellsprout,マダツボミ,花寶可夢,0.7,4.0,60,1,255,4,False,False,False,True,False,,,草,毒,50,75,35,70,30,40,300,0,葉綠素,Chlorophyll,False,,,,貪吃鬼,Gluttony
70,70,70,weepinbell,口呆花,Weepinbell,ウツドン,口呆花,Weepinbell,ウツドン,捕蠅寶可夢,1.0,6.4,137,1,120,4,False,False,False,True,False,,,草,毒,65,90,50,85,45,55,390,0,葉綠素,Chlorophyll,False,,,,貪吃鬼,Gluttony
71,71,71,victreebel,大食花,Victreebel,ウツボット,大食花,Victreebel,ウツボット,捕蠅寶可夢,1.7,15.5,221,1,45,4,False,False,False,True,False,,,草,毒,80,105,65,100,70,70,490,1,葉綠素,Chlorophyll,False,,,,貪吃鬼,Gluttony
72,72,72,tentacool,瑪瑙水母,Tentacool,メノクラゲ,瑪瑙水母,Tentacool,メノクラゲ,水母寶可夢,0.9,45.5,67,1,190,4,False,False,False,True,False,,,水,毒,40,40,35,50,100,70,335,0,恆淨之軀,Clear Body,False,污泥漿,Liquid Ooze,False,雨盤,Rain Dish
73,73,73,tentacruel,毒刺水母,Tentacruel,ドククラゲ,毒刺水母,Tentacruel,ドククラゲ,水母寶可夢,1.6,55.0,180,1,60,4,False,False,False,True,False,,,水,毒,80,70,65,80,120,100,515,0,恆淨之軀,Clear Body,False,污泥漿,Liquid Ooze,False,雨盤,Rain Dish
74,74,74,geodude,小拳石,Geodude,イシツブテ,小拳石,Geodude,イシツブテ,岩石寶可夢,0.4,20.0,60,1,255,4,False,False,False,True,False,,,岩石,地面,40,80,100,30,30,20,300,0,堅硬腦袋,Rock Head,False,結實,Sturdy,False,沙隱,Sand Veil
75,75,75,graveler,隆隆石,Graveler,ゴローン,隆隆石,Graveler,ゴローン,岩石寶可夢,1.0,105.0,137,1,120,4,False,False,False,True,False,,,岩石,地面,55,95,115,45,45,35,390,0,堅硬腦袋,Rock Head,False,結實,Sturdy,False,沙隱,Sand Veil
76,76,76,golem,隆隆岩,Golem,ゴローニャ,隆隆岩,Golem,ゴローニャ,重量級寶可夢,1.4,300.0,223,1,45,4,False,False,False,True,False,,,岩石,地面,80,120,130,55,65,45,495,0,堅硬腦袋,Rock Head,False,結實,Sturdy,False,沙隱,Sand Veil
77,77,77,ponyta,小火馬,Ponyta,ポニータ,小火馬,Ponyta,ポニータ,火馬寶可夢,1.0,30.0,82,1,190,4,False,False,False,True,False,,,火,,50,85,55,65,65,90,410,0,逃跑,Run Away,False,引火,Flash Fire,False,火焰之軀,Flame Body
78,78,78,rapidash,烈焰馬,Rapidash,ギャロップ,烈焰馬,Rapidash,ギャロップ,火馬寶可夢,1.7,95.0,175,1,60,4,False,False,False,True,False,,,火,,65,100,70,80,80,105,500,0,逃跑,Run Away,False,引火,Flash Fire,False,火焰之軀,Flame Body
79,79,79,slowpoke,呆呆獸,Slowpoke,ヤドン,呆呆獸,Slowpoke,ヤドン,憨憨寶可夢,1.2,36.0,63,1,190,4,False,False,False,True,False,,,水,超能力,90,65,65,40,40,15,315,0,遲鈍,Oblivious,False,我行我素,Own Tempo,False,再生力,Regenerator
80,80,80,slowbro,呆殼獸,Slowbro,ヤドラン,呆殼獸,Slowbro,ヤドラン,寄居蟹寶可夢,1.6,78.5,172,1,75,4,False,False,False,True,False,,,水,超能力,95,75,110,100,80,30,490,1,遲鈍,Oblivious,False,我行我素,Own Tempo,False,再生力,Regenerator
81,81,81,magnemite,小磁怪,Magnemite,コイル,小磁怪,Magnemite,コイル,磁鐵寶可夢,0.3,6.0,65,1,190,-1,False,False,False,True,False,,,電,鋼,25,35,70,95,55,45,325,0,磁力,Magnet Pull,False,結實,Sturdy,False,分析,Analytic
82,82,82,magneton,三合一磁怪,Magneton,レアコイル,三合一磁怪,Magneton,レアコイル,磁鐵寶可夢,1.0,60.0,163,1,60,-1,False,False,False,True,False,,,電,鋼,50,60,95,120,70,70,465,0,磁力,Magnet Pull,False,結實,Sturdy,False,分析,Analytic
83,83,83,farfetchd,大蔥鴨,Farfetch’d,カモネギ,大蔥鴨,Farfetch’d,カモネギ,黃嘴鴨寶可夢,0.8,15.0,132,1,45,4,False,False,False,True,False,,,一般,飛行,52,90,55,58,62,60,377,0,銳利目光,Keen Eye,False,精神力,Inner Focus,False,不服輸,Defiant
84,84,84,doduo,嘟嘟,Doduo,ドードー,嘟嘟,Doduo,ドードー,兩頭鳥寶可夢,1.4,39.2,62,1,190,4,False,False,False,True,False,,,一般,飛行,35,85,45,35,35,75,310,0,逃跑,Run Away,False,早起,Early Bird,False,蹣跚,Tangled Feet
85,85,85,dodrio,嘟嘟利,Dodrio,ドードリオ,嘟嘟利,Dodrio,ドードリオ,三頭鳥寶可夢,1.8,85.2,165,1,45,4,False,False,False,True,False,,,一般,飛行,60,110,70,60,60,110,470,0,逃跑,Run Away,False,早起,Early Bird,False,蹣跚,Tangled Feet
86,86,86,seel,小海獅,Seel,パウワウ,小海獅,Seel,パウワウ,海獅寶可夢,1.1,90.0,65,1,190,4,False,False,False,True,False,,,水,,65,45,55,45,70,45,325,0,厚脂肪,Thick Fat,False,濕潤之軀,Hydration,False,冰凍之軀,Ice Body
87,87,87,dewgong,白海獅,Dewgong,ジュゴン,白海獅,Dewgong,ジュゴン,海獅寶可夢,1.7,120.0,166,1,75,4,False,False,False,True,False,,,水,冰,90,70,80,70,95,70,475,0,厚脂肪,Thick Fat,False,濕潤之軀,Hydration,False,冰凍之軀,Ice Body
88,88,88,grimer,臭泥,Grimer,ベトベター,臭泥,Grimer,ベトベター,污泥寶可夢,0.9,30.0,65,1,190,4,False,False,False,True,False,,,毒,,80,80,50,40,50,25,325,0,惡臭,Stench,False,黏著,Sticky Hold,False,毒手,Poison Touch
89,89,89,muk,臭臭泥,Muk,ベトベトン,臭臭泥,Muk,ベトベトン,污泥寶可夢,1.2,30.0,175,1,75,4,False,False,False,True,False,,,毒,,105,105,75,65,100,50,500,0,惡臭,Stench,False,黏著,Sticky Hold,False,毒手,Poison Touch
90,90,90,shellder,大舌貝,Shellder,シェルダー,大舌貝,Shellder,シェルダー,雙殼貝寶可夢,0.3,4.0,61,1,190,4,False,False,False,True,False,,,水,,30,65,100,45,25,40,305,0,硬殼盔甲,Shell Armor,False,連續攻擊,Skill Link,False,防塵,Overcoat
91,91,91,cloyster,刺甲貝,Cloyster,パルシェン,刺甲貝,Cloyster,パルシェン,雙殼貝寶可夢,1.5,132.5,184,1,60,4,False,False,False,True,False,,,水,冰,50,95,180,85,45,70,525,0,硬殼盔甲,Shell Armor,False,連續攻擊,Skill Link,False,防塵,Overcoat
92,92,92,gastly,鬼斯,Gastly,ゴース,鬼斯,Gastly,ゴース,氣體狀寶可夢,1.3,0.1,62,1,190,4,False,False,False,True,False,,,幽靈,毒,30,35,30,100,35,80,310,0,飄浮,Levitate,False,,,,,
93,93,93,haunter,鬼斯通,Haunter,ゴースト,鬼斯通,Haunter,ゴースト,氣體狀寶可夢,1.6,0.1,142,1,90,4,False,False,False,True,False,,,幽靈,毒,45,50,45,115,55,95,405,0,飄浮,Levitate,False,,,,,
94,94,94,gengar,耿鬼,Gengar,ゲンガー,耿鬼,Gengar,ゲンガー,影子寶可夢,1.5,40.5,225,1,45,4,False,False,False,True,False,,,幽靈,毒,60,65,60,130,75,110,500,1,詛咒之軀,Cursed Body,False,,,,,
95,95,95,onix,大岩蛇,Onix,イワーク,大岩蛇,Onix,イワーク,岩蛇寶可夢,8.8,210.0,77,1,45,4,False,False,False,True,False,,,岩石,地面,35,45,160,30,45,70,385,0,堅硬腦袋,Rock Head,False,結實,Sturdy,False,碎裂鎧甲,Weak Armor
96,96,96,drowzee,催眠貘,Drowzee,スリープ,催眠貘,Drowzee,スリープ,催眠寶可夢,1.0,32.4,66,1,190,4,False,False,False,True,False,,,超能力,,60,48,45,43,90,42,328,0,不眠,Insomnia,False,預知夢,Forewarn,False,精神力,Inner Focus
